name,price,description,image,category
Leather Wallet 1,642,Premium wallet,https://picsum.photos/400/400?random=0,Accessories
Smartphone Stand 2,2763,Adjustable stand,https://picsum.photos/400/400?random=1,Electronics
Bluetooth Headphones 3,6853,Wireless sound,https://picsum.photos/400/400?random=2,Electronics
Sports Watch 4,4686,Digital watch,https://picsum.photos/400/400?random=3,Accessories
Adidas Hoodie 5,4303,Winter hoodie,https://picsum.photos/400/400?random=4,Clothing
Bluetooth Headphones 6,5485,Wireless sound,https://picsum.photos/400/400?random=5,Electronics
Leather Wallet 7,1508,Premium wallet,https://picsum.photos/400/400?random=6,Accessories
Leather Wallet 8,7803,Premium wallet,https://picsum.photos/400/400?random=7,Accessories
Smartphone Stand 9,2316,Adjustable stand,https://picsum.photos/400/400?random=8,Electronics
Casual T-Shirt 10,7573,Cotton t-shirt,https://picsum.photos/400/400?random=9,Clothing
Leather Wallet 11,1614,Premium wallet,https://picsum.photos/400/400?random=10,Accessories
Bluetooth Headphones 12,6051,Wireless sound,https://picsum.photos/400/400?random=11,Electronics
Smartphone Stand 13,2160,Adjustable stand,https://picsum.photos/400/400?random=12,Electronics
Leather Wallet 14,7972,Premium wallet,https://picsum.photos/400/400?random=13,Accessories
Adidas Hoodie 15,7367,Winter hoodie,https://picsum.photos/400/400?random=14,Clothing
Nike Air Max 16,8515,Running shoes,https://picsum.photos/400/400?random=15,Shoes
Leather Wallet 17,4236,Premium wallet,https://picsum.photos/400/400?random=16,Accessories
Leather Wallet 18,538,Premium wallet,https://picsum.photos/400/400?random=17,Accessories
Sports Watch 19,1453,Digital watch,https://picsum.photos/400/400?random=18,Accessories
Bluetooth Headphones 20,1879,Wireless sound,https://picsum.photos/400/400?random=19,Electronics
Denim Jeans 21,9717,Slim fit jeans,https://picsum.photos/400/400?random=20,Clothing
Gaming Mouse 22,7519,RGB gaming mouse,https://picsum.photos/400/400?random=21,Electronics
Smartphone Stand 23,7995,Adjustable stand,https://picsum.photos/400/400?random=22,Electronics
Leather Wallet 24,3797,Premium wallet,https://picsum.photos/400/400?random=23,Accessories
Puma Sneakers 25,3736,Comfort sneakers,https://picsum.photos/400/400?random=24,Shoes
Smartphone Stand 26,9219,Adjustable stand,https://picsum.photos/400/400?random=25,Electronics
Leather Wallet 27,6452,Premium wallet,https://picsum.photos/400/400?random=26,Accessories
Sports Watch 28,4916,Digital watch,https://picsum.photos/400/400?random=27,Accessories
Sports Watch 29,509,Digital watch,https://picsum.photos/400/400?random=28,Accessories
Puma Sneakers 30,3304,Comfort sneakers,https://picsum.photos/400/400?random=29,Shoes
Leather Wallet 31,2882,Premium wallet,https://picsum.photos/400/400?random=30,Accessories
Smartphone Stand 32,1525,Adjustable stand,https://picsum.photos/400/400?random=31,Electronics
Adidas Hoodie 33,580,Winter hoodie,https://picsum.photos/400/400?random=32,Clothing
Leather Wallet 34,6293,Premium wallet,https://picsum.photos/400/400?random=33,Accessories
Denim Jeans 35,6747,Slim fit jeans,https://picsum.photos/400/400?random=34,Clothing
Casual T-Shirt 36,3210,Cotton t-shirt,https://picsum.photos/400/400?random=35,Clothing
Smartphone Stand 37,6177,Adjustable stand,https://picsum.photos/400/400?random=36,Electronics
Denim Jeans 38,6599,Slim fit jeans,https://picsum.photos/400/400?random=37,Clothing
Denim Jeans 39,1824,Slim fit jeans,https://picsum.photos/400/400?random=38,Clothing
Adidas Hoodie 40,3482,Winter hoodie,https://picsum.photos/400/400?random=39,Clothing
Leather Wallet 41,5274,Premium wallet,https://picsum.photos/400/400?random=40,Accessories
Leather Wallet 42,7275,Premium wallet,https://picsum.photos/400/400?random=41,Accessories
Bluetooth Headphones 43,8453,Wireless sound,https://picsum.photos/400/400?random=42,Electronics
Denim Jeans 44,2162,Slim fit jeans,https://picsum.photos/400/400?random=43,Clothing
Nike Air Max 45,9932,Running shoes,https://picsum.photos/400/400?random=44,Shoes
Gaming Mouse 46,5732,RGB gaming mouse,https://picsum.photos/400/400?random=45,Electronics
Casual T-Shirt 47,5305,Cotton t-shirt,https://picsum.photos/400/400?random=46,Clothing
Denim Jeans 48,6349,Slim fit jeans,https://picsum.photos/400/400?random=47,Clothing
Adidas Hoodie 49,8370,Winter hoodie,https://picsum.photos/400/400?random=48,Clothing
Nike Air Max 50,3473,Running shoes,https://picsum.photos/400/400?random=49,Shoes
Denim Jeans 51,1009,Slim fit jeans,https://picsum.photos/400/400?random=50,Clothing
Casual T-Shirt 52,316,Cotton t-shirt,https://picsum.photos/400/400?random=51,Clothing
Sports Watch 53,3182,Digital watch,https://picsum.photos/400/400?random=52,Accessories
Nike Air Max 54,3155,Running shoes,https://picsum.photos/400/400?random=53,Shoes
Bluetooth Headphones 55,5826,Wireless sound,https://picsum.photos/400/400?random=54,Electronics
Puma Sneakers 56,4883,Comfort sneakers,https://picsum.photos/400/400?random=55,Shoes
Smartphone Stand 57,3341,Adjustable stand,https://picsum.photos/400/400?random=56,Electronics
Bluetooth Headphones 58,1296,Wireless sound,https://picsum.photos/400/400?random=57,Electronics
Sports Watch 59,7094,Digital watch,https://picsum.photos/400/400?random=58,Accessories
Nike Air Max 60,2933,Running shoes,https://picsum.photos/400/400?random=59,Shoes
Nike Air Max 61,4495,Running shoes,https://picsum.photos/400/400?random=60,Shoes
Adidas Hoodie 62,6200,Winter hoodie,https://picsum.photos/400/400?random=61,Clothing
Sports Watch 63,6092,Digital watch,https://picsum.photos/400/400?random=62,Accessories
Denim Jeans 64,9873,Slim fit jeans,https://picsum.photos/400/400?random=63,Clothing
Denim Jeans 65,4663,Slim fit jeans,https://picsum.photos/400/400?random=64,Clothing
Puma Sneakers 66,6074,Comfort sneakers,https://picsum.photos/400/400?random=65,Shoes
Casual T-Shirt 67,1797,Cotton t-shirt,https://picsum.photos/400/400?random=66,Clothing
Adidas Hoodie 68,2298,Winter hoodie,https://picsum.photos/400/400?random=67,Clothing
Denim Jeans 69,7803,Slim fit jeans,https://picsum.photos/400/400?random=68,Clothing
Bluetooth Headphones 70,6231,Wireless sound,https://picsum.photos/400/400?random=69,Electronics
Sports Watch 71,1034,Digital watch,https://picsum.photos/400/400?random=70,Accessories
Sports Watch 72,934,Digital watch,https://picsum.photos/400/400?random=71,Accessories
Sports Watch 73,9063,Digital watch,https://picsum.photos/400/400?random=72,Accessories
Puma Sneakers 74,6503,Comfort sneakers,https://picsum.photos/400/400?random=73,Shoes
Bluetooth Headphones 75,1298,Wireless sound,https://picsum.photos/400/400?random=74,Electronics
Puma Sneakers 76,9435,Comfort sneakers,https://picsum.photos/400/400?random=75,Shoes
Denim Jeans 77,1127,Slim fit jeans,https://picsum.photos/400/400?random=76,Clothing
Puma Sneakers 78,2060,Comfort sneakers,https://picsum.photos/400/400?random=77,Shoes
Denim Jeans 79,446,Slim fit jeans,https://picsum.photos/400/400?random=78,Clothing
Nike Air Max 80,4344,Running shoes,https://picsum.photos/400/400?random=79,Shoes
Gaming Mouse 81,7152,RGB gaming mouse,https://picsum.photos/400/400?random=80,Electronics
Nike Air Max 82,6811,Running shoes,https://picsum.photos/400/400?random=81,Shoes
Gaming Mouse 83,6471,RGB gaming mouse,https://picsum.photos/400/400?random=82,Electronics
Leather Wallet 84,2348,Premium wallet,https://picsum.photos/400/400?random=83,Accessories
Adidas Hoodie 85,3604,Winter hoodie,https://picsum.photos/400/400?random=84,Clothing
Smartphone Stand 86,4885,Adjustable stand,https://picsum.photos/400/400?random=85,Electronics
Gaming Mouse 87,2209,RGB gaming mouse,https://picsum.photos/400/400?random=86,Electronics
Denim Jeans 88,7194,Slim fit jeans,https://picsum.photos/400/400?random=87,Clothing
Nike Air Max 89,301,Running shoes,https://picsum.photos/400/400?random=88,Shoes
Gaming Mouse 90,8647,RGB gaming mouse,https://picsum.photos/400/400?random=89,Electronics
Sports Watch 91,6919,Digital watch,https://picsum.photos/400/400?random=90,Accessories
Nike Air Max 92,1363,Running shoes,https://picsum.photos/400/400?random=91,Shoes
Denim Jeans 93,2184,Slim fit jeans,https://picsum.photos/400/400?random=92,Clothing
Denim Jeans 94,2866,Slim fit jeans,https://picsum.photos/400/400?random=93,Clothing
Sports Watch 95,2650,Digital watch,https://picsum.photos/400/400?random=94,Accessories
Puma Sneakers 96,5378,Comfort sneakers,https://picsum.photos/400/400?random=95,Shoes
Bluetooth Headphones 97,3576,Wireless sound,https://picsum.photos/400/400?random=96,Electronics
Sports Watch 98,7128,Digital watch,https://picsum.photos/400/400?random=97,Accessories
Puma Sneakers 99,4375,Comfort sneakers,https://picsum.photos/400/400?random=98,Shoes
Bluetooth Headphones 100,1942,Wireless sound,https://picsum.photos/400/400?random=99,Electronics
Puma Sneakers 101,2123,Comfort sneakers,https://picsum.photos/400/400?random=100,Shoes
Casual T-Shirt 102,1678,Cotton t-shirt,https://picsum.photos/400/400?random=101,Clothing
Sports Watch 103,1196,Digital watch,https://picsum.photos/400/400?random=102,Accessories
Nike Air Max 104,8045,Running shoes,https://picsum.photos/400/400?random=103,Shoes
Leather Wallet 105,7569,Premium wallet,https://picsum.photos/400/400?random=104,Accessories
Nike Air Max 106,9810,Running shoes,https://picsum.photos/400/400?random=105,Shoes
Sports Watch 107,4388,Digital watch,https://picsum.photos/400/400?random=106,Accessories
Nike Air Max 108,9356,Running shoes,https://picsum.photos/400/400?random=107,Shoes
Sports Watch 109,7581,Digital watch,https://picsum.photos/400/400?random=108,Accessories
Puma Sneakers 110,8131,Comfort sneakers,https://picsum.photos/400/400?random=109,Shoes
Gaming Mouse 111,5628,RGB gaming mouse,https://picsum.photos/400/400?random=110,Electronics
Gaming Mouse 112,3631,RGB gaming mouse,https://picsum.photos/400/400?random=111,Electronics
Leather Wallet 113,3929,Premium wallet,https://picsum.photos/400/400?random=112,Accessories
Puma Sneakers 114,8232,Comfort sneakers,https://picsum.photos/400/400?random=113,Shoes
Smartphone Stand 115,8945,Adjustable stand,https://picsum.photos/400/400?random=114,Electronics
Sports Watch 116,6718,Digital watch,https://picsum.photos/400/400?random=115,Accessories
Sports Watch 117,9905,Digital watch,https://picsum.photos/400/400?random=116,Accessories
Sports Watch 118,9161,Digital watch,https://picsum.photos/400/400?random=117,Accessories
Bluetooth Headphones 119,6512,Wireless sound,https://picsum.photos/400/400?random=118,Electronics
Sports Watch 120,1962,Digital watch,https://picsum.photos/400/400?random=119,Accessories
Sports Watch 121,4548,Digital watch,https://picsum.photos/400/400?random=120,Accessories
Nike Air Max 122,1592,Running shoes,https://picsum.photos/400/400?random=121,Shoes
Sports Watch 123,4276,Digital watch,https://picsum.photos/400/400?random=122,Accessories
Gaming Mouse 124,8046,RGB gaming mouse,https://picsum.photos/400/400?random=123,Electronics
Bluetooth Headphones 125,8832,Wireless sound,https://picsum.photos/400/400?random=124,Electronics
Bluetooth Headphones 126,1630,Wireless sound,https://picsum.photos/400/400?random=125,Electronics
Sports Watch 127,6471,Digital watch,https://picsum.photos/400/400?random=126,Accessories
Casual T-Shirt 128,5991,Cotton t-shirt,https://picsum.photos/400/400?random=127,Clothing
Nike Air Max 129,2809,Running shoes,https://picsum.photos/400/400?random=128,Shoes
Gaming Mouse 130,9015,RGB gaming mouse,https://picsum.photos/400/400?random=129,Electronics
Sports Watch 131,7570,Digital watch,https://picsum.photos/400/400?random=130,Accessories
Gaming Mouse 132,7689,RGB gaming mouse,https://picsum.photos/400/400?random=131,Electronics
Puma Sneakers 133,787,Comfort sneakers,https://picsum.photos/400/400?random=132,Shoes
Sports Watch 134,3837,Digital watch,https://picsum.photos/400/400?random=133,Accessories
Puma Sneakers 135,2120,Comfort sneakers,https://picsum.photos/400/400?random=134,Shoes
Smartphone Stand 136,8062,Adjustable stand,https://picsum.photos/400/400?random=135,Electronics
Adidas Hoodie 137,9197,Winter hoodie,https://picsum.photos/400/400?random=136,Clothing
Casual T-Shirt 138,6449,Cotton t-shirt,https://picsum.photos/400/400?random=137,Clothing
Leather Wallet 139,3843,Premium wallet,https://picsum.photos/400/400?random=138,Accessories
Bluetooth Headphones 140,8562,Wireless sound,https://picsum.photos/400/400?random=139,Electronics
Smartphone Stand 141,1559,Adjustable stand,https://picsum.photos/400/400?random=140,Electronics
Puma Sneakers 142,6726,Comfort sneakers,https://picsum.photos/400/400?random=141,Shoes
Adidas Hoodie 143,8468,Winter hoodie,https://picsum.photos/400/400?random=142,Clothing
Gaming Mouse 144,8075,RGB gaming mouse,https://picsum.photos/400/400?random=143,Electronics
Puma Sneakers 145,6596,Comfort sneakers,https://picsum.photos/400/400?random=144,Shoes
Puma Sneakers 146,2616,Comfort sneakers,https://picsum.photos/400/400?random=145,Shoes
Puma Sneakers 147,1711,Comfort sneakers,https://picsum.photos/400/400?random=146,Shoes
Gaming Mouse 148,3504,RGB gaming mouse,https://picsum.photos/400/400?random=147,Electronics
Gaming Mouse 149,4847,RGB gaming mouse,https://picsum.photos/400/400?random=148,Electronics
Gaming Mouse 150,1172,RGB gaming mouse,https://picsum.photos/400/400?random=149,Electronics
Bluetooth Headphones 151,2230,Wireless sound,https://picsum.photos/400/400?random=150,Electronics
Smartphone Stand 152,9141,Adjustable stand,https://picsum.photos/400/400?random=151,Electronics
Puma Sneakers 153,5732,Comfort sneakers,https://picsum.photos/400/400?random=152,Shoes
Casual T-Shirt 154,5264,Cotton t-shirt,https://picsum.photos/400/400?random=153,Clothing
Denim Jeans 155,4013,Slim fit jeans,https://picsum.photos/400/400?random=154,Clothing
Bluetooth Headphones 156,5743,Wireless sound,https://picsum.photos/400/400?random=155,Electronics
Denim Jeans 157,7363,Slim fit jeans,https://picsum.photos/400/400?random=156,Clothing
Casual T-Shirt 158,3597,Cotton t-shirt,https://picsum.photos/400/400?random=157,Clothing
Casual T-Shirt 159,7775,Cotton t-shirt,https://picsum.photos/400/400?random=158,Clothing
Denim Jeans 160,345,Slim fit jeans,https://picsum.photos/400/400?random=159,Clothing
Leather Wallet 161,9827,Premium wallet,https://picsum.photos/400/400?random=160,Accessories
Smartphone Stand 162,3283,Adjustable stand,https://picsum.photos/400/400?random=161,Electronics
Leather Wallet 163,5422,Premium wallet,https://picsum.photos/400/400?random=162,Accessories
Casual T-Shirt 164,7864,Cotton t-shirt,https://picsum.photos/400/400?random=163,Clothing
Sports Watch 165,2842,Digital watch,https://picsum.photos/400/400?random=164,Accessories
Casual T-Shirt 166,5481,Cotton t-shirt,https://picsum.photos/400/400?random=165,Clothing
Denim Jeans 167,4722,Slim fit jeans,https://picsum.photos/400/400?random=166,Clothing
Puma Sneakers 168,534,Comfort sneakers,https://picsum.photos/400/400?random=167,Shoes
Casual T-Shirt 169,1285,Cotton t-shirt,https://picsum.photos/400/400?random=168,Clothing
Nike Air Max 170,4838,Running shoes,https://picsum.photos/400/400?random=169,Shoes
Denim Jeans 171,6539,Slim fit jeans,https://picsum.photos/400/400?random=170,Clothing
Smartphone Stand 172,1563,Adjustable stand,https://picsum.photos/400/400?random=171,Electronics
Casual T-Shirt 173,3741,Cotton t-shirt,https://picsum.photos/400/400?random=172,Clothing
Gaming Mouse 174,6854,RGB gaming mouse,https://picsum.photos/400/400?random=173,Electronics
Sports Watch 175,991,Digital watch,https://picsum.photos/400/400?random=174,Accessories
Gaming Mouse 176,3460,RGB gaming mouse,https://picsum.photos/400/400?random=175,Electronics
Smartphone Stand 177,1909,Adjustable stand,https://picsum.photos/400/400?random=176,Electronics
Sports Watch 178,3713,Digital watch,https://picsum.photos/400/400?random=177,Accessories
Sports Watch 179,4418,Digital watch,https://picsum.photos/400/400?random=178,Accessories
Smartphone Stand 180,2476,Adjustable stand,https://picsum.photos/400/400?random=179,Electronics
Bluetooth Headphones 181,8951,Wireless sound,https://picsum.photos/400/400?random=180,Electronics
Adidas Hoodie 182,9666,Winter hoodie,https://picsum.photos/400/400?random=181,Clothing
Sports Watch 183,8478,Digital watch,https://picsum.photos/400/400?random=182,Accessories
Casual T-Shirt 184,9939,Cotton t-shirt,https://picsum.photos/400/400?random=183,Clothing
Sports Watch 185,4383,Digital watch,https://picsum.photos/400/400?random=184,Accessories
Bluetooth Headphones 186,3013,Wireless sound,https://picsum.photos/400/400?random=185,Electronics
Bluetooth Headphones 187,3229,Wireless sound,https://picsum.photos/400/400?random=186,Electronics
Leather Wallet 188,1290,Premium wallet,https://picsum.photos/400/400?random=187,Accessories
Gaming Mouse 189,9573,RGB gaming mouse,https://picsum.photos/400/400?random=188,Electronics
Bluetooth Headphones 190,3808,Wireless sound,https://picsum.photos/400/400?random=189,Electronics
Sports Watch 191,3291,Digital watch,https://picsum.photos/400/400?random=190,Accessories
Casual T-Shirt 192,5690,Cotton t-shirt,https://picsum.photos/400/400?random=191,Clothing
Casual T-Shirt 193,8173,Cotton t-shirt,https://picsum.photos/400/400?random=192,Clothing
Puma Sneakers 194,6341,Comfort sneakers,https://picsum.photos/400/400?random=193,Shoes
Gaming Mouse 195,2513,RGB gaming mouse,https://picsum.photos/400/400?random=194,Electronics
Adidas Hoodie 196,4247,Winter hoodie,https://picsum.photos/400/400?random=195,Clothing
Sports Watch 197,3816,Digital watch,https://picsum.photos/400/400?random=196,Accessories
Smartphone Stand 198,4992,Adjustable stand,https://picsum.photos/400/400?random=197,Electronics
Leather Wallet 199,5459,Premium wallet,https://picsum.photos/400/400?random=198,Accessories
Adidas Hoodie 200,1894,Winter hoodie,https://picsum.photos/400/400?random=199,Clothing
